coin,date,level,mean_markout_bp,n_fills,n_opportunities
DOGE,20231004,1,-0.9578973816031954,24,380978
DOGE,20231004,2,0.001909094924787469,6,380978
DOGE,20231004,3,-0.8209506608649637,1,380978
DOGE,20231004,4,4.104146839913182,2,380978
DOGE,20231004,5,,0,380978
DOGE,20231019,1,5.078031142986144,56,418650
DOGE,20231019,2,21.5149150826829,14,418650
DOGE,20231019,3,26.524802688273628,4,418650
DOGE,20231019,4,0.8612522607868508,1,418650
DOGE,20231019,5,,0,418650
DOGE,20231121,1,1.8412915528719735,1265,646893
DOGE,20231121,2,4.183478835012366,470,646893
DOGE,20231121,3,9.831673916684009,246,646893
DOGE,20231121,4,11.803040277884651,132,646893
DOGE,20231121,5,16.532862317969634,79,646893
DOGE,20231209,1,0.3894588518812237,1069,635055
DOGE,20231209,2,1.0396944648959956,386,635055
DOGE,20231209,3,1.0400982023801795,200,635055
DOGE,20231209,4,2.166908306813183,133,635055
DOGE,20231209,5,1.8554195913396312,83,635055
DOGE,20231227,1,-1.3766962470060014,284,594688
DOGE,20231227,2,-1.41895500353848,60,594688
DOGE,20231227,3,-0.015507783681437706,33,594688
DOGE,20231227,4,2.344128621693993,9,594688
DOGE,20231227,5,6.895504929059737,6,594688
DOGE,20231230,1,-0.8988537454304653,159,494031
DOGE,20231230,2,0.32244866645872255,29,494031
DOGE,20231230,3,7.540777529980887,6,494031
DOGE,20231230,4,-1.942147432530656,4,494031
DOGE,20231230,5,2.4288030785223427,7,494031
DOGE,20240111,1,-0.6684045863112216,1096,678841
DOGE,20240111,2,1.1596809964904888,271,678841
DOGE,20240111,3,4.543852843803384,99,678841
DOGE,20240111,4,6.534589064944447,45,678841
DOGE,20240111,5,6.866290116056636,31,678841
DOGE,20240117,1,-1.7140850350101386,200,525599
DOGE,20240117,2,-0.5697798215623524,26,525599
DOGE,20240117,3,-0.15409464377961848,11,525599
DOGE,20240117,4,1.6969644176520038,7,525599
DOGE,20240117,5,-2.6646344952900614,3,525599
