venue,coin,date,gap_ms,n_fills,capture_bp,adverse_bp,net_bp
bybit_perp,AVAX,20250808,100,11237,0.22324813945581534,-1.3298351430621644,-1.106587003606349
bybit_perp,AVAX,20250808,250,8504,0.23485627673436993,-1.2937651681777296,-1.0589088914433595
bybit_perp,AVAX,20250808,500,7252,0.23478516788415657,-1.318842858234947,-1.0840576903507906
bybit_perp,AVAX,20250808,1000,5936,0.23601922607108472,-1.375162200038778,-1.139142973967693
bybit_perp,AVAX,20250808,2000,4591,0.23550580964693169,-1.3499582683408293,-1.1144524586938973
bybit_perp,AVAX,20250808,5000,3241,0.23684859575842432,-1.1476905405516826,-0.9108419447932582
bybit_perp,AVAX,20250808,10000,2350,0.2357176354538195,-0.9470285585015945,-0.711310923047775
bybit_perp,AVAX,20250809,100,9213,0.21401327589467856,-1.1972610862561248,-0.9832478103614463
bybit_perp,AVAX,20250809,250,7235,0.22442837978646585,-1.150734117899708,-0.9263057381132419
bybit_perp,AVAX,20250809,500,6337,0.2248144103080349,-1.165070110537476,-0.9402557002294408
bybit_perp,AVAX,20250809,1000,5174,0.2253212350479553,-1.1351830970880534,-0.9098618620400982
bybit_perp,AVAX,20250809,2000,4145,0.2243145058248224,-1.0376924079075802,-0.8133779020827577
bybit_perp,AVAX,20250809,5000,2890,0.22542725215281093,-1.0235380556681966,-0.7981108035153855
bybit_perp,AVAX,20250809,10000,2167,0.2250521651512598,-0.769517318140045,-0.5444651529887852
bybit_perp,AVAX,20250810,100,9860,0.22036410671175807,-1.1888622494223868,-0.9684981427106288
bybit_perp,AVAX,20250810,250,7717,0.23027389572320756,-1.1610403483214007,-0.9307664525981929
bybit_perp,AVAX,20250810,500,6710,0.23156520154457336,-1.1426766361304779,-0.9111114345859046
bybit_perp,AVAX,20250810,1000,5541,0.23127477656172746,-1.094616647816835,-0.8633418712551076
bybit_perp,AVAX,20250810,2000,4397,0.23102300022984523,-1.0207544208002823,-0.789731420570437
bybit_perp,AVAX,20250810,5000,3108,0.22932521884267987,-1.0230805099389884,-0.7937552910963083
bybit_perp,AVAX,20250810,10000,2359,0.22901408848864263,-0.742294453806625,-0.5132803653179825
