coin,date,block,regime,capture_sum,adverse_sum,net_sum,n_fills
AVAX,20250117,us,mid,0.010632041841745377,-0.017899468541145325,-0.007267426699399948,173.0
AVAX,20250126,asia,calm,0.023678988218307495,-0.047887831926345825,-0.024208849295973778,351.0
AVAX,20250126,asia,mid,0.007602166850119829,-0.01442012283951044,-0.006817955989390612,113.0
AVAX,20250126,europe,calm,0.022199789062142372,-0.04501620680093765,-0.02281641587615013,328.0
AVAX,20250126,us,calm,0.021084707230329514,-0.049149807542562485,-0.02806510031223297,313.0
AVAX,20250126,us,mid,0.012679042294621468,-0.040049631148576736,-0.02737058699131012,183.0
AVAX,20250201,asia,calm,0.015207139775156975,-0.04165998846292496,-0.02645285055041313,209.0
AVAX,20250201,asia,mid,0.00325515097938478,-0.014524045400321484,-0.011268895119428635,45.0
AVAX,20250201,europe,calm,0.023684492334723473,-0.03920691832900047,-0.01552242785692215,319.0
AVAX,20250201,europe,mid,0.005401770584285259,-0.011235116049647331,-0.005833344534039497,72.0
AVAX,20250201,us,calm,0.013879554346203804,-0.03281499445438385,-0.018935436382889748,182.0
AVAX,20250201,us,mid,0.030822154134511948,-0.07406215369701385,-0.04323999956250191,397.0
AVAX,20250210,asia,mid,0.03526943922042847,-0.06813755631446838,-0.03286811709403992,347.0
AVAX,20250210,asia,stress,0.022262653335928917,-0.028186319395899773,-0.005923666059970856,221.0
AVAX,20250210,europe,mid,0.049006540328264236,-0.08844031393527985,-0.039433784782886505,499.0
AVAX,20250210,europe,stress,0.0025502953212708235,-0.006869061850011349,-0.004318767227232456,26.0
AVAX,20250210,us,calm,0.00901583768427372,-0.023424915969371796,-0.01440907921642065,92.0
AVAX,20250210,us,mid,0.019720643758773804,-0.0322854220867157,-0.012564778327941895,201.0
AVAX,20250219,asia,calm,0.014551475644111633,-0.03331324830651283,-0.0187617726624012,136.0
AVAX,20250219,asia,mid,0.01932612806558609,-0.03704453259706497,-0.017718404531478882,181.0
AVAX,20250219,asia,stress,0.0012792950728908181,0.000640272512100637,0.0019195681670680642,12.0
AVAX,20250219,europe,calm,0.016178779304027557,-0.023224104195833206,-0.007045322097837925,153.0
AVAX,20250219,europe,mid,0.021434534341096878,-0.03409551456570625,-0.012660980224609375,200.0
AVAX,20250219,us,calm,0.005824571009725332,-0.015038237906992435,-0.009213666431605816,55.0
AVAX,20250219,us,mid,0.019120823591947556,-0.04109667241573334,-0.021975848823785782,180.0
AVAX,20250228,asia,mid,0.016589069738984108,-0.02684931829571724,-0.010260248556733131,145.0
AVAX,20250228,asia,stress,0.13448593020439148,-0.13068978488445282,0.0037961527705192566,1109.0
AVAX,20250228,europe,mid,0.01904435083270073,-0.052510522305965424,-0.033466171473264694,157.0
AVAX,20250228,europe,stress,0.0709296464920044,-0.14377473294734955,-0.07284508645534515,588.0
AVAX,20250228,us,mid,0.034620605409145355,-0.07481816411018372,-0.04019755870103836,304.0
AVAX,20250228,us,stress,0.01573256403207779,-0.03923327848315239,-0.0235007181763649,137.0
AVAX,20250306,asia,mid,0.04915138706564903,-0.12767332792282104,-0.07852193713188171,432.0
AVAX,20250306,asia,stress,0.02150534838438034,-0.04970746114850044,-0.028202112764120102,189.0
AVAX,20250306,europe,mid,0.044828709214925766,-0.10469718277454376,-0.059868477284908295,391.0
AVAX,20250306,europe,stress,0.042059239000082016,-0.08535337448120117,-0.04329413175582886,360.0
AVAX,20250306,us,mid,0.02900444157421589,-0.03630121052265167,-0.00729677127674222,245.0
AVAX,20250306,us,stress,0.041264403611421585,-0.06290917098522186,-0.02164476178586483,351.0
AVAX,20250315,asia,calm,0.02067718654870987,-0.09907732158899307,-0.0784001350402832,749.0
AVAX,20250315,asia,mid,0.005950420629233122,-0.040354594588279724,-0.034404173493385315,208.0
AVAX,20250315,asia,stress,0.0001083015522453934,0.0015738102374598384,0.0016821117606014013,4.0
AVAX,20250315,europe,calm,0.013298138976097107,-0.07202430069446564,-0.05872616544365883,488.0
AVAX,20250315,europe,mid,0.012455468997359276,-0.06456860899925232,-0.052113138139247894,430.0
AVAX,20250315,us,calm,0.01612856611609459,-0.10049570351839066,-0.08436714112758636,579.0
AVAX,20250315,us,mid,0.01440679281949997,-0.06556791812181473,-0.05116112902760506,471.0
AVAX,20250315,us,stress,0.017916427925229073,-0.1707482933998108,-0.15283185243606567,573.0
AVAX,20250324,asia,calm,0.0031361603178083897,-0.015508484095335007,-0.012372325174510479,129.0
AVAX,20250324,asia,mid,0.06448684632778168,-0.34480541944503784,-0.28031855821609497,2481.0
AVAX,20250324,asia,stress,0.00010097314225276932,0.00012616704043466598,0.0002271401899633929,3.0
AVAX,20250324,europe,calm,0.015542397275567055,-0.06900174915790558,-0.05345935374498367,646.0
AVAX,20250324,europe,mid,0.027688678354024887,-0.12334614992141724,-0.09565748274326324,1086.0
AVAX,20250324,us,calm,0.018040120601654053,-0.05682320520281792,-0.038783084601163864,730.0
AVAX,20250324,us,mid,0.002460120478644967,-0.013791739009320736,-0.011331617832183838,104.0
AVAX,20250330,asia,calm,0.012140966020524502,-0.04635576903820038,-0.0342148020863533,451.0
AVAX,20250330,asia,mid,0.004713431000709534,-0.01793530397117138,-0.01322187390178442,184.0
AVAX,20250330,europe,calm,0.014949562959372997,-0.04982896149158478,-0.034879397600889206,523.0
AVAX,20250330,europe,mid,0.010815201327204704,-0.03579077869653702,-0.024975579231977463,333.0
AVAX,20250330,us,calm,0.014518355019390583,-0.06580647826194763,-0.051288120448589325,486.0
AVAX,20250330,us,mid,0.011697898618876934,-0.04858531802892685,-0.03688742220401764,427.0
AVAX,20250408,asia,mid,0.043430522084236145,-0.19163179397583008,-0.14820127189159393,1415.0
AVAX,20250408,europe,calm,0.008437441661953926,-0.054527007043361664,-0.046089570969343185,278.0
AVAX,20250408,europe,mid,0.045870017260313034,-0.17400437593460083,-0.1281343549489975,1510.0
AVAX,20250408,europe,stress,0.030298789963126183,-0.10339251905679703,-0.0730937272310257,994.0
AVAX,20250408,us,calm,0.0014611753867939115,-0.023716935887932777,-0.022255759686231613,42.0
AVAX,20250408,us,mid,0.04401514679193497,-0.1433653086423874,-0.09935015439987183,1367.0
AVAX,20250408,us,stress,0.05086521804332733,-0.24925418198108673,-0.1983889639377594,1522.0
AVAX,20250417,asia,calm,0.01162104494869709,-0.04871094226837158,-0.03708989545702934,420.0
